,Make,Year of manufacture,Condition,Mileage,Engine_Size,Fuel,Transmission,Price,Build
2275,27,2007,0,150420,2400,0,0,2100000,0
2282,7,2004,0,143321,2300,0,0,2704000,0
2283,13,2006,0,188429,4200,0,0,2940000,0
2284,19,2007,0,233903,3000,0,0,1680000,0
2290,27,2003,0,170206,3000,0,0,2704000,0
2300,7,2006,0,233846,3500,0,0,1575000,0
2304,19,2014,0,118154,2500,0,2,5775000,0
2305,18,2004,0,361889,3800,0,0,2625000,0
2308,27,2012,1,206117,3500,0,0,9152000,0
2309,5,2013,0,133104,3500,0,0,3465000,0
2310,12,2013,0,85282,2400,0,0,4200000,0
2311,10,2001,0,141538,3500,0,0,1260000,0
2316,18,2003,0,246600,2400,0,0,1575000,0
2321,7,2011,0,166352,3500,0,0,2415000,0
2322,7,2005,0,273444,3500,0,0,1560000,0
2323,19,2005,0,208886,40,0,0,3016000,0
2328,17,2009,0,151643,4000,0,0,4725000,0
2330,14,2005,0,174427,3300,0,0,3045000,0
2337,19,2009,0,213292,3500,0,2,1575000,0
2345,14,2000,0,154995,3500,0,0,1680000,0
2348,7,2007,0,134716,2400,0,0,2046000,0
2350,17,2008,0,142557,47000,0,0,4725000,0
2351,7,2009,0,179313,3500,0,0,2625000,0
2365,27,2008,1,105681,3500,0,0,26000000,0
2373,19,2001,0,188490,3300,0,0,1260000,0
2376,17,2007,0,243975,4700,0,0,2310000,0
2391,17,2009,0,151643,4000,0,0,4725000,0
2401,7,2009,0,179313,3500,0,0,2625000,0
2410,27,2008,0,56761,5700,0,0,5250000,0
2412,5,2007,0,115945,3500,0,3,1575000,0
2424,27,2008,0,56761,5700,0,0,5250000,0
2430,19,2003,0,239830,2500,0,0,1785000,0
2432,7,2008,0,88690,2400,0,0,2100000,0
2435,13,2006,0,114307,4400,0,0,1680000,0
2436,14,2000,0,154995,3500,0,0,1680000,0
2442,7,2011,0,166352,3500,0,0,2415000,0
2444,27,2001,0,174340,2000,0,0,1872000,0
2446,14,2005,0,221522,3300,0,0,3328000,0
2455,14,2009,0,156501,3500,0,0,3585000,0
2458,27,2003,0,218717,2000,0,0,1768000,0
2462,19,2005,0,468578,2500,0,0,1680000,0
2463,17,2005,0,134162,3700,0,0,2940000,0
2467,7,2004,0,215019,3500,0,0,1560000,0
2469,17,2008,0,212117,3500,0,0,3150000,0
2473,5,2008,0,171962,3500,0,0,2704000,0
2474,7,2007,1,183460,35,0,0,3150000,0
2486,19,2008,0,77687,45,0,0,1575000,0
2488,17,2003,0,320327,3200,0,0,1872000,0
2493,2,2002,0,176466,3000,0,0,1687500,0
2500,10,2004,0,262823,3500,0,0,1575000,0
2504,19,2009,0,213292,3500,0,2,1575000,0
2521,17,2003,0,320327,3200,0,0,1872000,0
2538,17,2002,1,311373,3200,0,0,2625000,0
2547,7,2007,0,140942,2400,0,0,1890000,0
2558,14,1999,0,225668,3000,0,0,1938000,0
2560,19,2013,0,99116,2000,0,0,2100000,0
2573,19,2005,0,185972,4700,0,0,2100000,0
2574,7,2007,1,183460,35,0,0,3150000,0
2575,18,2003,0,165711,2000,0,0,1365000,0
2577,7,2003,0,404395,3000,0,0,1664000,0
